Time,Ext. Input 1 digital,
03/16/2023 07:07,1oFF,
03/16/2023 07:07,1 on,
03/16/2023 07:08,1oFF,
03/16/2023 07:16,1 on,
03/16/2023 07:21,1oFF,
03/16/2023 07:50,1 on,
03/16/2023 07:54,1oFF,
03/16/2023 08:30,1 on,
03/16/2023 08:35,1oFF,
03/16/2023 08:54,1 on,
03/16/2023 08:56,1 on,
03/16/2023 09:25,1oFF,
03/16/2023 10:07,1 on,
03/16/2023 10:10,1oFF,
03/16/2023 10:16,1 on,
03/16/2023 10:17,1oFF,
03/16/2023 10:37,1 on,
03/16/2023 10:37,1oFF,
03/16/2023 10:45,1 on,
03/16/2023 10:45,1oFF,
03/16/2023 10:46,1 on,
03/16/2023 10:47,1oFF,
03/16/2023 10:48,1 on,
03/16/2023 10:49,1oFF,
03/16/2023 10:51,1 on,
03/16/2023 10:51,1oFF,
03/16/2023 10:55,1 on,
03/16/2023 11:04,1oFF,
03/16/2023 11:09,1 on,
03/16/2023 11:10,1oFF,
03/16/2023 11:12,1 on,
03/16/2023 11:12,1oFF,
03/16/2023 11:26,1 on,
03/16/2023 11:26,1oFF,
03/16/2023 11:37,1 on,
03/16/2023 11:37,1oFF,
03/16/2023 11:48,1 on,
03/16/2023 11:50,1oFF,
03/16/2023 11:54,1 on,
03/16/2023 11:55,1oFF,
03/16/2023 12:00,1 on,
03/16/2023 12:00,1oFF,
03/16/2023 12:06,1 on,
03/16/2023 12:07,1oFF,
03/16/2023 12:08,1 on,
03/16/2023 12:32,1oFF,
03/16/2023 12:32,1 on,
03/16/2023 12:35,1oFF,
03/16/2023 12:43,1 on,
03/16/2023 12:44,1oFF,
03/16/2023 12:58,1 on,
03/16/2023 12:59,1oFF,
03/16/2023 13:12,1 on,
03/16/2023 13:13,1oFF,
03/16/2023 13:17,1 on,
03/16/2023 13:17,1oFF,
03/16/2023 13:23,1 on,
03/16/2023 13:39,1oFF,
03/16/2023 13:46,1 on,
03/16/2023 14:08,1oFF,
03/16/2023 14:16,1 on,
03/16/2023 14:17,1oFF,
03/16/2023 14:22,1 on,
03/16/2023 14:22,1oFF,
03/16/2023 14:22,1 on,
03/16/2023 14:39,1oFF,
03/16/2023 14:47,1 on,
03/16/2023 15:10,1oFF,
03/16/2023 15:18,1 on,
03/16/2023 15:19,1oFF,
03/16/2023 15:22,1 on,
03/16/2023 15:25,1oFF,
03/16/2023 15:35,1 on,
03/16/2023 15:36,1oFF,
03/16/2023 15:40,1 on,
03/16/2023 15:40,1oFF,
03/16/2023 15:47,1 on,
03/16/2023 15:48,1oFF,
03/16/2023 15:52,1 on,
03/16/2023 15:56,1oFF,
03/16/2023 16:06,1 on,
03/16/2023 16:08,1oFF,
03/16/2023 16:09,1 on,
03/16/2023 16:10,1oFF,
03/16/2023 16:12,1 on,
03/16/2023 16:18,1oFF,
03/16/2023 16:31,1 on,
03/16/2023 16:32,1oFF,
03/16/2023 16:47,1 on,
